Cycle start time,Cycle end time,Cycle timezone,Question text,Answered yes,Notes
2024-02-07 23:17:40,2024-02-08 23:14:15,UTC-08:00,Eat any food close to bedtime?,false,
2024-02-07 23:17:40,2024-02-08 23:14:15,UTC-08:00,Used marijuana,false,
2024-02-07 23:17:40,2024-02-08 23:14:15,UTC-08:00,Engage in sexual activity?,false,
2024-02-07 23:17:40,2024-02-08 23:14:15,UTC-08:00,Share your bed?,false,
2024-02-07 23:17:40,2024-02-08 23:14:15,UTC-08:00,Spend time stretching?,false,
2024-02-07 23:17:40,2024-02-08 23:14:15,UTC-08:00,Watch the sunset?,false,
2024-02-07 23:17:40,2024-02-08 23:14:15,UTC-08:00,Use a weighted blanket while sleeping?,false,
2024-02-06 00:27:34,2024-02-06 23:55:52,UTC-08:00,Have any alcoholic drinks?,false,
2024-02-06 00:27:34,2024-02-06 23:55:52,UTC-08:00,Have any caffeine? ,false,
2024-02-06 00:27:34,2024-02-06 23:55:52,UTC-08:00,Eat any food close to bedtime?,false,
2024-02-06 00:27:34,2024-02-06 23:55:52,UTC-08:00,Used marijuana,false,
2024-02-06 00:27:34,2024-02-06 23:55:52,UTC-08:00,Engage in sexual activity?,false,
2024-02-06 00:27:34,2024-02-06 23:55:52,UTC-08:00,Share your bed?,false,
2024-02-06 00:27:34,2024-02-06 23:55:52,UTC-08:00,Spend time stretching?,false,
2024-02-06 00:27:34,2024-02-06 23:55:52,UTC-08:00,Watch the sunset?,false,
2024-02-06 00:27:34,2024-02-06 23:55:52,UTC-08:00,Use a weighted blanket while sleeping?,false,
2024-02-05 01:40:51,2024-02-06 00:27:34,UTC-08:00,Have any alcoholic drinks?,false,
2024-02-05 01:40:51,2024-02-06 00:27:34,UTC-08:00,Have any caffeine? ,false,
2024-02-05 01:40:51,2024-02-06 00:27:34,UTC-08:00,Eat any food close to bedtime?,true,
2024-02-05 01:40:51,2024-02-06 00:27:34,UTC-08:00,Used marijuana,false,
2024-02-05 01:40:51,2024-02-06 00:27:34,UTC-08:00,Engage in sexual activity?,false,
2024-02-05 01:40:51,2024-02-06 00:27:34,UTC-08:00,Share your bed?,false,
2024-02-05 01:40:51,2024-02-06 00:27:34,UTC-08:00,Spend time stretching?,false,
2024-02-05 01:40:51,2024-02-06 00:27:34,UTC-08:00,Watch the sunset?,false,
2024-02-05 01:40:51,2024-02-06 00:27:34,UTC-08:00,Use a weighted blanket while sleeping?,false,
2024-02-04 01:47:18,2024-02-05 01:40:51,UTC-08:00,Have any alcoholic drinks?,false,
2024-02-04 01:47:18,2024-02-05 01:40:51,UTC-08:00,Have any caffeine? ,false,
2024-02-04 01:47:18,2024-02-05 01:40:51,UTC-08:00,Eat any food close to bedtime?,false,
2024-02-04 01:47:18,2024-02-05 01:40:51,UTC-08:00,Used marijuana,true,
2024-02-04 01:47:18,2024-02-05 01:40:51,UTC-08:00,Engage in sexual activity?,false,
2024-02-04 01:47:18,2024-02-05 01:40:51,UTC-08:00,Share your bed?,false,
2024-02-04 01:47:18,2024-02-05 01:40:51,UTC-08:00,Spend time stretching?,false,
2024-02-04 01:47:18,2024-02-05 01:40:51,UTC-08:00,Watch the sunset?,false,
2024-02-04 01:47:18,2024-02-05 01:40:51,UTC-08:00,Use a weighted blanket while sleeping?,false,
2024-02-02 23:59:06,2024-02-04 01:47:18,UTC-08:00,Have any alcoholic drinks?,false,
2024-02-02 23:59:06,2024-02-04 01:47:18,UTC-08:00,Have any caffeine? ,false,
2024-02-02 23:59:06,2024-02-04 01:47:18,UTC-08:00,Eat any food close to bedtime?,false,
2024-02-02 23:59:06,2024-02-04 01:47:18,UTC-08:00,Used marijuana,false,
2024-02-02 23:59:06,2024-02-04 01:47:18,UTC-08:00,Engage in sexual activity?,false,
2024-02-02 23:59:06,2024-02-04 01:47:18,UTC-08:00,Share your bed?,false,
2024-02-02 23:59:06,2024-02-04 01:47:18,UTC-08:00,Spend time stretching?,false,
2024-02-02 23:59:06,2024-02-04 01:47:18,UTC-08:00,Watch the sunset?,false,
2024-02-02 23:59:06,2024-02-04 01:47:18,UTC-08:00,Use a weighted blanket while sleeping?,false,
2024-02-01 01:51:29,2024-02-02 00:17:28,UTC-08:00,Have any alcoholic drinks?,false,
2024-02-01 01:51:29,2024-02-02 00:17:28,UTC-08:00,Have any caffeine? ,true,
2024-02-01 01:51:29,2024-02-02 00:17:28,UTC-08:00,Eat any food close to bedtime?,true,
2024-02-01 01:51:29,2024-02-02 00:17:28,UTC-08:00,Used marijuana,true,
2024-02-01 01:51:29,2024-02-02 00:17:28,UTC-08:00,Engage in sexual activity?,false,
2024-02-01 01:51:29,2024-02-02 00:17:28,UTC-08:00,Share your bed?,false,
2024-02-01 01:51:29,2024-02-02 00:17:28,UTC-08:00,Spend time stretching?,false,
2024-02-01 01:51:29,2024-02-02 00:17:28,UTC-08:00,Watch the sunset?,false,
2024-02-01 01:51:29,2024-02-02 00:17:28,UTC-08:00,Use a weighted blanket while sleeping?,false,
2024-01-30 01:05:26,2024-01-30 23:18:42,UTC-08:00,Have any alcoholic drinks?,false,
2024-01-30 01:05:26,2024-01-30 23:18:42,UTC-08:00,Have any caffeine? ,true,
2024-01-30 01:05:26,2024-01-30 23:18:42,UTC-08:00,Eat any food close to bedtime?,false,
2024-01-30 01:05:26,2024-01-30 23:18:42,UTC-08:00,Used marijuana,false,
2024-01-30 01:05:26,2024-01-30 23:18:42,UTC-08:00,Engage in sexual activity?,false,
2024-01-30 01:05:26,2024-01-30 23:18:42,UTC-08:00,Share your bed?,false,
2024-01-30 01:05:26,2024-01-30 23:18:42,UTC-08:00,Spend time stretching?,false,
2024-01-30 01:05:26,2024-01-30 23:18:42,UTC-08:00,Watch the sunset?,false,
2024-01-30 01:05:26,2024-01-30 23:18:42,UTC-08:00,Use a weighted blanket while sleeping?,false,
2024-01-27 01:48:32,2024-01-27 23:48:45,UTC-08:00,Have any alcoholic drinks?,true,
2024-01-27 01:48:32,2024-01-27 23:48:45,UTC-08:00,Have any caffeine? ,true,
2024-01-27 01:48:32,2024-01-27 23:48:45,UTC-08:00,Eat any food close to bedtime?,false,
2024-01-27 01:48:32,2024-01-27 23:48:45,UTC-08:00,Used marijuana,true,
2024-01-27 01:48:32,2024-01-27 23:48:45,UTC-08:00,Engage in sexual activity?,false,
2024-01-27 01:48:32,2024-01-27 23:48:45,UTC-08:00,Share your bed?,false,
2024-01-27 01:48:32,2024-01-27 23:48:45,UTC-08:00,Spend time stretching?,false,
2024-01-27 01:48:32,2024-01-27 23:48:45,UTC-08:00,Watch the sunset?,false,
2024-01-27 01:48:32,2024-01-27 23:48:45,UTC-08:00,Use a weighted blanket while sleeping?,false,
2024-01-16 22:23:27,2024-01-18 00:04:49,UTC-08:00,Have any alcoholic drinks?,false,
2024-01-16 22:23:27,2024-01-18 00:04:49,UTC-08:00,Have any caffeine? ,true,
2024-01-16 22:23:27,2024-01-18 00:04:49,UTC-08:00,Eat any food close to bedtime?,false,
2024-01-16 22:23:27,2024-01-18 00:04:49,UTC-08:00,Used marijuana,true,
2024-01-16 22:23:27,2024-01-18 00:04:49,UTC-08:00,Engage in sexual activity?,false,
2024-01-16 22:23:27,2024-01-18 00:04:49,UTC-08:00,Share your bed?,false,
2024-01-16 22:23:27,2024-01-18 00:04:49,UTC-08:00,Spend time stretching?,false,
2024-01-16 22:23:27,2024-01-18 00:04:49,UTC-08:00,Watch the sunset?,false,
2024-01-16 22:23:27,2024-01-18 00:04:49,UTC-08:00,Use a weighted blanket while sleeping?,false,
2024-01-10 23:17:47,2024-01-11 23:32:00,UTC-08:00,Have any alcoholic drinks?,false,
2024-01-10 23:17:47,2024-01-11 23:32:00,UTC-08:00,Have any caffeine? ,true,
2024-01-10 23:17:47,2024-01-11 23:32:00,UTC-08:00,Eat any food close to bedtime?,false,
2024-01-10 23:17:47,2024-01-11 23:32:00,UTC-08:00,Used marijuana,true,
2024-01-10 23:17:47,2024-01-11 23:32:00,UTC-08:00,Engage in sexual activity?,false,
2024-01-10 23:17:47,2024-01-11 23:32:00,UTC-08:00,Share your bed?,false,
2024-01-10 23:17:47,2024-01-11 23:32:00,UTC-08:00,Spend time stretching?,false,
2024-01-10 23:17:47,2024-01-11 23:32:00,UTC-08:00,Watch the sunset?,false,
2024-01-10 23:17:47,2024-01-11 23:32:00,UTC-08:00,Use a weighted blanket while sleeping?,false,
2024-01-07 23:44:55,2024-01-08 22:54:45,UTC-08:00,Have any alcoholic drinks?,false,
2024-01-07 23:44:55,2024-01-08 22:54:45,UTC-08:00,Have any caffeine? ,false,
2024-01-07 23:44:55,2024-01-08 22:54:45,UTC-08:00,Eat any food close to bedtime?,false,
2024-01-07 23:44:55,2024-01-08 22:54:45,UTC-08:00,Used marijuana,false,
2024-01-07 23:44:55,2024-01-08 22:54:45,UTC-08:00,Engage in sexual activity?,false,
2024-01-07 23:44:55,2024-01-08 22:54:45,UTC-08:00,Share your bed?,false,
2024-01-07 23:44:55,2024-01-08 22:54:45,UTC-08:00,Spend time stretching?,false,
2024-01-07 23:44:55,2024-01-08 22:54:45,UTC-08:00,Watch the sunset?,false,
2024-01-07 23:44:55,2024-01-08 22:54:45,UTC-08:00,Use a weighted blanket while sleeping?,false,
2024-01-03 23:01:29,2024-01-04 23:41:35,UTC-07:00,Have any alcoholic drinks?,false,
2024-01-03 23:01:29,2024-01-04 23:41:35,UTC-07:00,Have any caffeine? ,true,
2024-01-03 23:01:29,2024-01-04 23:41:35,UTC-07:00,Eat any food close to bedtime?,false,
2024-01-03 23:01:29,2024-01-04 23:41:35,UTC-07:00,Used marijuana,false,
2024-01-03 23:01:29,2024-01-04 23:41:35,UTC-07:00,Engage in sexual activity?,false,
2024-01-03 23:01:29,2024-01-04 23:41:35,UTC-07:00,Share your bed?,false,
2024-01-03 23:01:29,2024-01-04 23:41:35,UTC-07:00,Spend time stretching?,false,
2024-01-03 23:01:29,2024-01-04 23:41:35,UTC-07:00,Watch the sunset?,false,
2024-01-03 23:01:29,2024-01-04 23:41:35,UTC-07:00,Use a weighted blanket while sleeping?,false,
2023-11-21 03:34:20,2023-11-22 02:16:21,UTC+01:00,Traveled on a plane,false,
2023-11-21 03:34:20,2023-11-22 02:16:21,UTC+01:00,Have any alcoholic drinks?,false,
2023-11-21 03:34:20,2023-11-22 02:16:21,UTC+01:00,Have any caffeine? ,false,
2023-11-21 03:34:20,2023-11-22 02:16:21,UTC+01:00,Feel energized throughout the day?,false,
2023-11-21 03:34:20,2023-11-22 02:16:21,UTC+01:00,Experience any irritability?,false,
2023-11-21 03:34:20,2023-11-22 02:16:21,UTC+01:00,Eat any food close to bedtime?,false,
2023-11-21 03:34:20,2023-11-22 02:16:21,UTC+01:00,Used marijuana,true,
2023-11-21 03:34:20,2023-11-22 02:16:21,UTC+01:00,Spend time outdoors?,false,
2023-11-21 03:34:20,2023-11-22 02:16:21,UTC+01:00,Felt recovered?,false,
2023-11-21 03:34:20,2023-11-22 02:16:21,UTC+01:00,Work from home?,false,
2023-11-21 03:34:20,2023-11-22 02:16:21,UTC+01:00,Engage in sexual activity?,false,
2023-11-21 03:34:20,2023-11-22 02:16:21,UTC+01:00,Share your bed?,false,
2023-11-21 03:34:20,2023-11-22 02:16:21,UTC+01:00,Use a steam room?,false,
2023-11-21 03:34:20,2023-11-22 02:16:21,UTC+01:00,Spend time stretching?,false,
2023-11-21 03:34:20,2023-11-22 02:16:21,UTC+01:00,Watch the sunset?,false,
2023-11-21 03:34:20,2023-11-22 02:16:21,UTC+01:00,Took a vacation day?,false,
2023-11-11 04:02:41,2023-11-12 02:34:28,UTC-05:00,Traveled on a plane,false,
2023-11-11 04:02:41,2023-11-12 02:34:28,UTC-05:00,Have any alcoholic drinks?,true,
2023-11-11 04:02:41,2023-11-12 02:34:28,UTC-05:00,Have any caffeine? ,false,
2023-11-11 04:02:41,2023-11-12 02:34:28,UTC-05:00,Feel energized throughout the day?,false,
2023-11-11 04:02:41,2023-11-12 02:34:28,UTC-05:00,Experience any irritability?,false,
2023-11-11 04:02:41,2023-11-12 02:34:28,UTC-05:00,Eat any food close to bedtime?,false,
2023-11-11 04:02:41,2023-11-12 02:34:28,UTC-05:00,Used marijuana,false,
2023-11-11 04:02:41,2023-11-12 02:34:28,UTC-05:00,Spend time outdoors?,false,
2023-11-11 04:02:41,2023-11-12 02:34:28,UTC-05:00,Felt recovered?,false,
2023-11-11 04:02:41,2023-11-12 02:34:28,UTC-05:00,Work from home?,false,
2023-11-11 04:02:41,2023-11-12 02:34:28,UTC-05:00,Engage in sexual activity?,false,
2023-11-11 04:02:41,2023-11-12 02:34:28,UTC-05:00,Share your bed?,false,
2023-11-11 04:02:41,2023-11-12 02:34:28,UTC-05:00,Use a steam room?,false,
2023-11-11 04:02:41,2023-11-12 02:34:28,UTC-05:00,Spend time stretching?,false,
2023-11-11 04:02:41,2023-11-12 02:34:28,UTC-05:00,Watch the sunset?,false,
2023-11-11 04:02:41,2023-11-12 02:34:28,UTC-05:00,Took a vacation day?,false,
2023-11-05 23:53:55,2023-11-06 23:05:22,UTC-08:00,Traveled on a plane,false,
2023-11-05 23:53:55,2023-11-06 23:05:22,UTC-08:00,Have any alcoholic drinks?,false,
2023-11-05 23:53:55,2023-11-06 23:05:22,UTC-08:00,Have any caffeine? ,true,
2023-11-05 23:53:55,2023-11-06 23:05:22,UTC-08:00,Feel energized throughout the day?,false,
2023-11-05 23:53:55,2023-11-06 23:05:22,UTC-08:00,Experience any irritability?,false,
2023-11-05 23:53:55,2023-11-06 23:05:22,UTC-08:00,Eat any food close to bedtime?,false,
2023-11-05 23:53:55,2023-11-06 23:05:22,UTC-08:00,Used marijuana,true,
2023-11-05 23:53:55,2023-11-06 23:05:22,UTC-08:00,Spend time outdoors?,false,
2023-11-05 23:53:55,2023-11-06 23:05:22,UTC-08:00,Felt recovered?,false,
2023-11-05 23:53:55,2023-11-06 23:05:22,UTC-08:00,Work from home?,false,
2023-11-05 23:53:55,2023-11-06 23:05:22,UTC-08:00,Engage in sexual activity?,false,
2023-11-05 23:53:55,2023-11-06 23:05:22,UTC-08:00,Share your bed?,false,
2023-11-05 23:53:55,2023-11-06 23:05:22,UTC-08:00,Use a steam room?,false,
2023-11-05 23:53:55,2023-11-06 23:05:22,UTC-08:00,Spend time stretching?,false,
2023-11-05 23:53:55,2023-11-06 23:05:22,UTC-08:00,Watch the sunset?,false,
2023-11-05 23:53:55,2023-11-06 23:05:22,UTC-08:00,Took a vacation day?,false,
2023-11-03 00:26:42,2023-11-03 22:14:52,UTC-07:00,Traveled on a plane,false,
2023-11-03 00:26:42,2023-11-03 22:14:52,UTC-07:00,Have any alcoholic drinks?,false,
2023-11-03 00:26:42,2023-11-03 22:14:52,UTC-07:00,Have any caffeine? ,true,
2023-11-03 00:26:42,2023-11-03 22:14:52,UTC-07:00,Feel energized throughout the day?,false,
2023-11-03 00:26:42,2023-11-03 22:14:52,UTC-07:00,Experience any irritability?,false,
2023-11-03 00:26:42,2023-11-03 22:14:52,UTC-07:00,Eat any food close to bedtime?,false,
2023-11-03 00:26:42,2023-11-03 22:14:52,UTC-07:00,Used marijuana,true,
2023-11-03 00:26:42,2023-11-03 22:14:52,UTC-07:00,Spend time outdoors?,false,
2023-11-03 00:26:42,2023-11-03 22:14:52,UTC-07:00,Felt recovered?,false,
2023-11-03 00:26:42,2023-11-03 22:14:52,UTC-07:00,Work from home?,false,
2023-11-03 00:26:42,2023-11-03 22:14:52,UTC-07:00,Engage in sexual activity?,false,
2023-11-03 00:26:42,2023-11-03 22:14:52,UTC-07:00,Share your bed?,false,
2023-11-03 00:26:42,2023-11-03 22:14:52,UTC-07:00,Use a steam room?,false,
2023-11-03 00:26:42,2023-11-03 22:14:52,UTC-07:00,Spend time stretching?,false,
2023-11-03 00:26:42,2023-11-03 22:14:52,UTC-07:00,Watch the sunset?,false,
2023-11-03 00:26:42,2023-11-03 22:14:52,UTC-07:00,Took a vacation day?,false,
2023-10-29 01:01:15,2023-10-29 23:41:02,UTC-07:00,Traveled on a plane,false,
2023-10-29 01:01:15,2023-10-29 23:41:02,UTC-07:00,Have any alcoholic drinks?,true,
2023-10-29 01:01:15,2023-10-29 23:41:02,UTC-07:00,Have any caffeine? ,false,
2023-10-29 01:01:15,2023-10-29 23:41:02,UTC-07:00,Feel energized throughout the day?,false,
2023-10-29 01:01:15,2023-10-29 23:41:02,UTC-07:00,Experience any irritability?,false,
2023-10-29 01:01:15,2023-10-29 23:41:02,UTC-07:00,Eat any food close to bedtime?,false,
2023-10-29 01:01:15,2023-10-29 23:41:02,UTC-07:00,Used marijuana,true,
2023-10-29 01:01:15,2023-10-29 23:41:02,UTC-07:00,Spend time outdoors?,false,
2023-10-29 01:01:15,2023-10-29 23:41:02,UTC-07:00,Felt recovered?,false,
2023-10-29 01:01:15,2023-10-29 23:41:02,UTC-07:00,Work from home?,false,
2023-10-29 01:01:15,2023-10-29 23:41:02,UTC-07:00,Engage in sexual activity?,false,
2023-10-29 01:01:15,2023-10-29 23:41:02,UTC-07:00,Share your bed?,false,
2023-10-29 01:01:15,2023-10-29 23:41:02,UTC-07:00,Use a steam room?,false,
2023-10-29 01:01:15,2023-10-29 23:41:02,UTC-07:00,Spend time stretching?,false,
2023-10-29 01:01:15,2023-10-29 23:41:02,UTC-07:00,Watch the sunset?,false,
2023-10-29 01:01:15,2023-10-29 23:41:02,UTC-07:00,Took a vacation day?,false,
2023-10-26 23:47:38,2023-10-28 00:34:39,UTC-07:00,Traveled on a plane,false,
2023-10-26 23:47:38,2023-10-28 00:34:39,UTC-07:00,Have any alcoholic drinks?,false,
2023-10-26 23:47:38,2023-10-28 00:34:39,UTC-07:00,Have any caffeine? ,true,
2023-10-26 23:47:38,2023-10-28 00:34:39,UTC-07:00,Feel energized throughout the day?,false,
2023-10-26 23:47:38,2023-10-28 00:34:39,UTC-07:00,Experience any irritability?,false,
2023-10-26 23:47:38,2023-10-28 00:34:39,UTC-07:00,Eat any food close to bedtime?,false,
2023-10-26 23:47:38,2023-10-28 00:34:39,UTC-07:00,Used marijuana,true,
2023-10-26 23:47:38,2023-10-28 00:34:39,UTC-07:00,Spend time outdoors?,false,
2023-10-26 23:47:38,2023-10-28 00:34:39,UTC-07:00,Felt recovered?,false,
2023-10-26 23:47:38,2023-10-28 00:34:39,UTC-07:00,Work from home?,false,
2023-10-26 23:47:38,2023-10-28 00:34:39,UTC-07:00,Engage in sexual activity?,false,
2023-10-26 23:47:38,2023-10-28 00:34:39,UTC-07:00,Share your bed?,false,
2023-10-26 23:47:38,2023-10-28 00:34:39,UTC-07:00,Use a steam room?,false,
2023-10-26 23:47:38,2023-10-28 00:34:39,UTC-07:00,Spend time stretching?,true,
2023-10-26 23:47:38,2023-10-28 00:34:39,UTC-07:00,Watch the sunset?,false,
2023-10-26 23:47:38,2023-10-28 00:34:39,UTC-07:00,Took a vacation day?,false,
2023-10-24 22:42:05,2023-10-25 21:28:00,UTC-07:00,Traveled on a plane,false,
2023-10-24 22:42:05,2023-10-25 21:28:00,UTC-07:00,Have any alcoholic drinks?,true,
2023-10-24 22:42:05,2023-10-25 21:28:00,UTC-07:00,Have any caffeine? ,true,
2023-10-24 22:42:05,2023-10-25 21:28:00,UTC-07:00,Feel energized throughout the day?,false,
2023-10-24 22:42:05,2023-10-25 21:28:00,UTC-07:00,Experience any irritability?,false,
2023-10-24 22:42:05,2023-10-25 21:28:00,UTC-07:00,Eat any food close to bedtime?,false,
2023-10-24 22:42:05,2023-10-25 21:28:00,UTC-07:00,Used marijuana,true,
2023-10-24 22:42:05,2023-10-25 21:28:00,UTC-07:00,Spend time outdoors?,false,
2023-10-24 22:42:05,2023-10-25 21:28:00,UTC-07:00,Felt recovered?,false,
2023-10-24 22:42:05,2023-10-25 21:28:00,UTC-07:00,Work from home?,false,
2023-10-24 22:42:05,2023-10-25 21:28:00,UTC-07:00,Engage in sexual activity?,false,
2023-10-24 22:42:05,2023-10-25 21:28:00,UTC-07:00,Share your bed?,false,
2023-10-24 22:42:05,2023-10-25 21:28:00,UTC-07:00,Use a steam room?,false,
2023-10-24 22:42:05,2023-10-25 21:28:00,UTC-07:00,Spend time stretching?,false,
2023-10-24 22:42:05,2023-10-25 21:28:00,UTC-07:00,Watch the sunset?,false,
2023-10-24 22:42:05,2023-10-25 21:28:00,UTC-07:00,Took a vacation day?,false,
2023-10-21 21:20:41,2023-10-22 20:24:29,UTC-07:00,Traveled on a plane,false,
2023-10-21 21:20:41,2023-10-22 20:24:29,UTC-07:00,Have any alcoholic drinks?,false,
2023-10-21 21:20:41,2023-10-22 20:24:29,UTC-07:00,Have any caffeine? ,true,
2023-10-21 21:20:41,2023-10-22 20:24:29,UTC-07:00,Feel energized throughout the day?,false,
2023-10-21 21:20:41,2023-10-22 20:24:29,UTC-07:00,Experience any irritability?,false,
2023-10-21 21:20:41,2023-10-22 20:24:29,UTC-07:00,Eat any food close to bedtime?,false,
2023-10-21 21:20:41,2023-10-22 20:24:29,UTC-07:00,Used marijuana,true,
2023-10-21 21:20:41,2023-10-22 20:24:29,UTC-07:00,Spend time outdoors?,false,
2023-10-21 21:20:41,2023-10-22 20:24:29,UTC-07:00,Felt recovered?,false,
2023-10-21 21:20:41,2023-10-22 20:24:29,UTC-07:00,Work from home?,false,
2023-10-21 21:20:41,2023-10-22 20:24:29,UTC-07:00,Engage in sexual activity?,false,
2023-10-21 21:20:41,2023-10-22 20:24:29,UTC-07:00,Share your bed?,false,
2023-10-21 21:20:41,2023-10-22 20:24:29,UTC-07:00,Use a steam room?,false,
2023-10-21 21:20:41,2023-10-22 20:24:29,UTC-07:00,Spend time stretching?,false,
2023-10-21 21:20:41,2023-10-22 20:24:29,UTC-07:00,Watch the sunset?,false,
2023-10-21 21:20:41,2023-10-22 20:24:29,UTC-07:00,Took a vacation day?,false,
2023-10-20 00:34:32,2023-10-21 04:07:31,UTC-07:00,Traveled on a plane,false,
2023-10-20 00:34:32,2023-10-21 04:07:31,UTC-07:00,Have any alcoholic drinks?,false,
2023-10-20 00:34:32,2023-10-21 04:07:31,UTC-07:00,Have any caffeine? ,true,
2023-10-20 00:34:32,2023-10-21 04:07:31,UTC-07:00,Feel energized throughout the day?,false,
2023-10-20 00:34:32,2023-10-21 04:07:31,UTC-07:00,Experience any irritability?,false,
2023-10-20 00:34:32,2023-10-21 04:07:31,UTC-07:00,Eat any food close to bedtime?,false,
2023-10-20 00:34:32,2023-10-21 04:07:31,UTC-07:00,Used marijuana,true,
2023-10-20 00:34:32,2023-10-21 04:07:31,UTC-07:00,Spend time outdoors?,false,
2023-10-20 00:34:32,2023-10-21 04:07:31,UTC-07:00,Felt recovered?,false,
2023-10-20 00:34:32,2023-10-21 04:07:31,UTC-07:00,Work from home?,false,
2023-10-20 00:34:32,2023-10-21 04:07:31,UTC-07:00,Engage in sexual activity?,false,
2023-10-20 00:34:32,2023-10-21 04:07:31,UTC-07:00,Share your bed?,false,
2023-10-20 00:34:32,2023-10-21 04:07:31,UTC-07:00,Use a steam room?,false,
2023-10-20 00:34:32,2023-10-21 04:07:31,UTC-07:00,Spend time stretching?,false,
2023-10-20 00:34:32,2023-10-21 04:07:31,UTC-07:00,Watch the sunset?,false,
2023-10-20 00:34:32,2023-10-21 04:07:31,UTC-07:00,Took a vacation day?,false,
2023-10-19 00:20:29,2023-10-20 00:34:32,UTC-07:00,Traveled on a plane,false,
2023-10-19 00:20:29,2023-10-20 00:34:32,UTC-07:00,Have any alcoholic drinks?,false,
2023-10-19 00:20:29,2023-10-20 00:34:32,UTC-07:00,Have any caffeine? ,true,
2023-10-19 00:20:29,2023-10-20 00:34:32,UTC-07:00,Feel energized throughout the day?,false,
2023-10-19 00:20:29,2023-10-20 00:34:32,UTC-07:00,Experience any irritability?,false,
2023-10-19 00:20:29,2023-10-20 00:34:32,UTC-07:00,Eat any food close to bedtime?,false,
2023-10-19 00:20:29,2023-10-20 00:34:32,UTC-07:00,Used marijuana,true,
2023-10-19 00:20:29,2023-10-20 00:34:32,UTC-07:00,Spend time outdoors?,false,
2023-10-19 00:20:29,2023-10-20 00:34:32,UTC-07:00,Felt recovered?,false,
2023-10-19 00:20:29,2023-10-20 00:34:32,UTC-07:00,Work from home?,false,
